"Date(UTC)","UnixTimeStamp","No. of Verified Contracts"
"2015-10-17","1445040000","0"
"2015-10-18","1445126400","0"
"2015-10-19","1445212800","0"
"2015-10-20","1445299200","0"
"2015-10-21","1445385600","0"
"2015-10-22","1445472000","0"
"2015-10-23","1445558400","0"
"2015-10-24","1445644800","0"
"2015-10-25","1445731200","0"
"2015-10-26","1445817600","0"
"2015-10-27","1445904000","0"
"2015-10-28","1445990400","0"
"2015-10-29","1446076800","0"
"2015-10-30","1446163200","0"
"2015-10-31","1446249600","0"
"2015-11-01","1446336000","0"
"2015-11-02","1446422400","0"
"2015-11-03","1446508800","0"
"2015-11-04","1446595200","0"
"2015-11-05","1446681600","0"
"2015-11-06","1446768000","0"
"2015-11-07","1446854400","0"
"2015-11-08","1446940800","0"
"2015-11-09","1447027200","0"
"2015-11-10","1447113600","0"
"2015-11-11","1447200000","0"
"2015-11-12","1447286400","0"
"2015-11-13","1447372800","0"
"2015-11-14","1447459200","0"
"2015-11-15","1447545600","0"
"2015-11-16","1447632000","0"
"2015-11-17","1447718400","0"
"2015-11-18","1447804800","0"
"2015-11-19","1447891200","0"
"2015-11-20","1447977600","0"
"2015-11-21","1448064000","0"
"2015-11-22","1448150400","0"
"2015-11-23","1448236800","0"
"2015-11-24","1448323200","0"
"2015-11-25","1448409600","0"
"2015-11-26","1448496000","0"
"2015-11-27","1448582400","0"
"2015-11-28","1448668800","0"
"2015-11-29","1448755200","0"
"2015-11-30","1448841600","0"
"2015-12-01","1448928000","0"
"2015-12-02","1449014400","0"
"2015-12-03","1449100800","0"
"2015-12-04","1449187200","0"
"2015-12-05","1449273600","0"
"2015-12-06","1449360000","0"
"2015-12-07","1449446400","0"
"2015-12-08","1449532800","0"
"2015-12-09","1449619200","0"
"2015-12-10","1449705600","0"
"2015-12-11","1449792000","0"
"2015-12-12","1449878400","0"
"2015-12-13","1449964800","0"
"2015-12-14","1450051200","0"
"2015-12-15","1450137600","0"
"2015-12-16","1450224000","0"
"2015-12-17","1450310400","0"
"2015-12-18","1450396800","0"
"2015-12-19","1450483200","0"
"2015-12-20","1450569600","0"
"2015-12-21","1450656000","0"
"2015-12-22","1450742400","0"
"2015-12-23","1450828800","0"
"2015-12-24","1450915200","0"
"2015-12-25","1451001600","0"
"2015-12-26","1451088000","0"
"2015-12-27","1451174400","0"
"2015-12-28","1451260800","0"
"2015-12-29","1451347200","0"
"2015-12-30","1451433600","0"
"2015-12-31","1451520000","0"
"2016-01-01","1451606400","0"
"2016-01-02","1451692800","0"
"2016-01-03","1451779200","0"
"2016-01-04","1451865600","0"
"2016-01-05","1451952000","0"
"2016-01-06","1452038400","0"
"2016-01-07","1452124800","0"
"2016-01-08","1452211200","0"
"2016-01-09","1452297600","0"
"2016-01-10","1452384000","0"
"2016-01-11","1452470400","0"
"2016-01-12","1452556800","0"
"2016-01-13","1452643200","0"
"2016-01-14","1452729600","0"
"2016-01-15","1452816000","0"
"2016-01-16","1452902400","0"
"2016-01-17","1452988800","0"
"2016-01-18","1453075200","0"
"2016-01-19","1453161600","0"
"2016-01-20","1453248000","0"
"2016-01-21","1453334400","0"
"2016-01-22","1453420800","0"
"2016-01-23","1453507200","0"
"2016-01-24","1453593600","0"
"2016-01-25","1453680000","0"
"2016-01-26","1453766400","0"
"2016-01-27","1453852800","0"
"2016-01-28","1453939200","0"
"2016-01-29","1454025600","0"
"2016-01-30","1454112000","0"
"2016-01-31","1454198400","0"
"2016-02-01","1454284800","0"
"2016-02-02","1454371200","0"
"2016-02-03","1454457600","0"
"2016-02-04","1454544000","0"
"2016-02-05","1454630400","0"
"2016-02-06","1454716800","0"
"2016-02-07","1454803200","0"
"2016-02-08","1454889600","0"
"2016-02-09","1454976000","0"
"2016-02-10","1455062400","0"
"2016-02-11","1455148800","0"
"2016-02-12","1455235200","0"
"2016-02-13","1455321600","0"
"2016-02-14","1455408000","0"
"2016-02-15","1455494400","0"
"2016-02-16","1455580800","0"
"2016-02-17","1455667200","0"
"2016-02-18","1455753600","0"
"2016-02-19","1455840000","0"
"2016-02-20","1455926400","0"
"2016-02-21","1456012800","0"
"2016-02-22","1456099200","0"
"2016-02-23","1456185600","0"
"2016-02-24","1456272000","0"
"2016-02-25","1456358400","0"
"2016-02-26","1456444800","0"
"2016-02-27","1456531200","0"
"2016-02-28","1456617600","0"
"2016-02-29","1456704000","0"
"2016-03-01","1456790400","0"
"2016-03-02","1456876800","0"
"2016-03-03","1456963200","0"
"2016-03-04","1457049600","0"
"2016-03-05","1457136000","0"
"2016-03-06","1457222400","0"
"2016-03-07","1457308800","0"
"2016-03-08","1457395200","0"
"2016-03-09","1457481600","0"
"2016-03-10","1457568000","0"
"2016-03-11","1457654400","0"
"2016-03-12","1457740800","0"
"2016-03-13","1457827200","0"
"2016-03-14","1457913600","0"
"2016-03-15","1458000000","0"
"2016-03-16","1458086400","0"
"2016-03-17","1458172800","0"
"2016-03-18","1458259200","0"
"2016-03-19","1458345600","0"
"2016-03-20","1458432000","0"
"2016-03-21","1458518400","0"
"2016-03-22","1458604800","0"
"2016-03-23","1458691200","0"
"2016-03-24","1458777600","12"
"2016-03-25","1458864000","2"
"2016-03-26","1458950400","5"
"2016-03-27","1459036800","1"
"2016-03-28","1459123200","1"
"2016-03-29","1459209600","4"
"2016-03-30","1459296000","5"
"2016-03-31","1459382400","8"
"2016-04-01","1459468800","3"
"2016-04-02","1459555200","2"
"2016-04-03","1459641600","2"
"2016-04-04","1459728000","11"
"2016-04-05","1459814400","14"
"2016-04-06","1459900800","18"
"2016-04-07","1459987200","9"
"2016-04-08","1460073600","9"
"2016-04-09","1460160000","11"
"2016-04-10","1460246400","5"
"2016-04-11","1460332800","9"
"2016-04-12","1460419200","6"
"2016-04-13","1460505600","3"
"2016-04-14","1460592000","12"
"2016-04-15","1460678400","1"
"2016-04-16","1460764800","1"
"2016-04-17","1460851200","1"
"2016-04-18","1460937600","3"
"2016-04-19","1461024000","0"
"2016-04-20","1461110400","4"
"2016-04-21","1461196800","3"
"2016-04-22","1461283200","2"
"2016-04-23","1461369600","2"
"2016-04-24","1461456000","5"
"2016-04-25","1461542400","2"
"2016-04-26","1461628800","2"
"2016-04-27","1461715200","1"
"2016-04-28","1461801600","8"
"2016-04-29","1461888000","0"
"2016-04-30","1461974400","1"
"2016-05-01","1462060800","1"
"2016-05-02","1462147200","3"
"2016-05-03","1462233600","0"
"2016-05-04","1462320000","0"
"2016-05-05","1462406400","3"
"2016-05-06","1462492800","1"
"2016-05-07","1462579200","6"
"2016-05-08","1462665600","6"
"2016-05-09","1462752000","6"
"2016-05-10","1462838400","2"
"2016-05-11","1462924800","1"
"2016-05-12","1463011200","0"
"2016-05-13","1463097600","1"
"2016-05-14","1463184000","2"
"2016-05-15","1463270400","1"
"2016-05-16","1463356800","3"
"2016-05-17","1463443200","1"
"2016-05-18","1463529600","3"
"2016-05-19","1463616000","0"
"2016-05-20","1463702400","3"
"2016-05-21","1463788800","0"
"2016-05-22","1463875200","0"
"2016-05-23","1463961600","0"
"2016-05-24","1464048000","2"
"2016-05-25","1464134400","3"
"2016-05-26","1464220800","4"
"2016-05-27","1464307200","1"
"2016-05-28","1464393600","1"
"2016-05-29","1464480000","1"
"2016-05-30","1464566400","1"
"2016-05-31","1464652800","3"
"2016-06-01","1464739200","5"
"2016-06-02","1464825600","2"
"2016-06-03","1464912000","2"
"2016-06-04","1464998400","0"
"2016-06-05","1465084800","1"
"2016-06-06","1465171200","2"
"2016-06-07","1465257600","2"
"2016-06-08","1465344000","2"
"2016-06-09","1465430400","1"
"2016-06-10","1465516800","1"
"2016-06-11","1465603200","2"
"2016-06-12","1465689600","1"
"2016-06-13","1465776000","1"
"2016-06-14","1465862400","5"
"2016-06-15","1465948800","1"
"2016-06-16","1466035200","3"
"2016-06-17","1466121600","3"
"2016-06-18","1466208000","3"
"2016-06-19","1466294400","1"
"2016-06-20","1466380800","1"
"2016-06-21","1466467200","2"
"2016-06-22","1466553600","0"
"2016-06-23","1466640000","1"
"2016-06-24","1466726400","0"
"2016-06-25","1466812800","0"
"2016-06-26","1466899200","0"
"2016-06-27","1466985600","1"
"2016-06-28","1467072000","6"
"2016-06-29","1467158400","2"
"2016-06-30","1467244800","3"
"2016-07-01","1467331200","1"
"2016-07-02","1467417600","1"
"2016-07-03","1467504000","0"
"2016-07-04","1467590400","3"
"2016-07-05","1467676800","2"
"2016-07-06","1467763200","6"
"2016-07-07","1467849600","1"
"2016-07-08","1467936000","4"
"2016-07-09","1468022400","2"
"2016-07-10","1468108800","0"
"2016-07-11","1468195200","1"
"2016-07-12","1468281600","1"
"2016-07-13","1468368000","6"
"2016-07-14","1468454400","11"
"2016-07-15","1468540800","4"
"2016-07-16","1468627200","1"
"2016-07-17","1468713600","4"
"2016-07-18","1468800000","3"
"2016-07-19","1468886400","2"
"2016-07-20","1468972800","4"
"2016-07-21","1469059200","4"
"2016-07-22","1469145600","3"
"2016-07-23","1469232000","0"
"2016-07-24","1469318400","3"
"2016-07-25","1469404800","6"
"2016-07-26","1469491200","2"
"2016-07-27","1469577600","3"
"2016-07-28","1469664000","3"
"2016-07-29","1469750400","2"
"2016-07-30","1469836800","6"
"2016-07-31","1469923200","1"
"2016-08-01","1470009600","3"
"2016-08-02","1470096000","1"
"2016-08-03","1470182400","0"
"2016-08-04","1470268800","36"
"2016-08-05","1470355200","7"
"2016-08-06","1470441600","25"
"2016-08-07","1470528000","0"
"2016-08-08","1470614400","5"
"2016-08-09","1470700800","3"
"2016-08-10","1470787200","7"
"2016-08-11","1470873600","4"
"2016-08-12","1470960000","1"
"2016-08-13","1471046400","0"
"2016-08-14","1471132800","0"
"2016-08-15","1471219200","3"
"2016-08-16","1471305600","3"
"2016-08-17","1471392000","1"
"2016-08-18","1471478400","2"
"2016-08-19","1471564800","6"
"2016-08-20","1471651200","1"
"2016-08-21","1471737600","1"
"2016-08-22","1471824000","3"
"2016-08-23","1471910400","1"
"2016-08-24","1471996800","5"
"2016-08-25","1472083200","10"
"2016-08-26","1472169600","4"
"2016-08-27","1472256000","0"
"2016-08-28","1472342400","0"
"2016-08-29","1472428800","0"
"2016-08-30","1472515200","2"
"2016-08-31","1472601600","4"
"2016-09-01","1472688000","0"
"2016-09-02","1472774400","1"
"2016-09-03","1472860800","0"
"2016-09-04","1472947200","4"
"2016-09-05","1473033600","2"
"2016-09-06","1473120000","1"
"2016-09-07","1473206400","1"
"2016-09-08","1473292800","4"
"2016-09-09","1473379200","1"
"2016-09-10","1473465600","2"
"2016-09-11","1473552000","0"
"2016-09-12","1473638400","0"
"2016-09-13","1473724800","1"
"2016-09-14","1473811200","2"
"2016-09-15","1473897600","24"
"2016-09-16","1473984000","6"
"2016-09-17","1474070400","1"
"2016-09-18","1474156800","2"
"2016-09-19","1474243200","1"
"2016-09-20","1474329600","7"
"2016-09-21","1474416000","2"
"2016-09-22","1474502400","3"
"2016-09-23","1474588800","0"
"2016-09-24","1474675200","1"
"2016-09-25","1474761600","0"
"2016-09-26","1474848000","0"
"2016-09-27","1474934400","0"
"2016-09-28","1475020800","1"
"2016-09-29","1475107200","1"
"2016-09-30","1475193600","3"
"2016-10-01","1475280000","2"
"2016-10-02","1475366400","2"
"2016-10-03","1475452800","1"
"2016-10-04","1475539200","1"
"2016-10-05","1475625600","2"
"2016-10-06","1475712000","1"
"2016-10-07","1475798400","3"
"2016-10-08","1475884800","0"
"2016-10-09","1475971200","1"
"2016-10-10","1476057600","0"
"2016-10-11","1476144000","0"
"2016-10-12","1476230400","2"
"2016-10-13","1476316800","1"
"2016-10-14","1476403200","0"
"2016-10-15","1476489600","0"
"2016-10-16","1476576000","0"
"2016-10-17","1476662400","0"
"2016-10-18","1476748800","1"
"2016-10-19","1476835200","15"
"2016-10-20","1476921600","4"
"2016-10-21","1477008000","0"
"2016-10-22","1477094400","0"
"2016-10-23","1477180800","0"
"2016-10-24","1477267200","2"
"2016-10-25","1477353600","5"
"2016-10-26","1477440000","1"
"2016-10-27","1477526400","1"
"2016-10-28","1477612800","2"
"2016-10-29","1477699200","2"
"2016-10-30","1477785600","0"
"2016-10-31","1477872000","4"
"2016-11-01","1477958400","4"
"2016-11-02","1478044800","2"
"2016-11-03","1478131200","1"
"2016-11-04","1478217600","3"
"2016-11-05","1478304000","0"
"2016-11-06","1478390400","3"
"2016-11-07","1478476800","5"
"2016-11-08","1478563200","6"
"2016-11-09","1478649600","4"
"2016-11-10","1478736000","2"
"2016-11-11","1478822400","2"
"2016-11-12","1478908800","5"
"2016-11-13","1478995200","1"
"2016-11-14","1479081600","5"
"2016-11-15","1479168000","0"
"2016-11-16","1479254400","4"
"2016-11-17","1479340800","3"
"2016-11-18","1479427200","2"
"2016-11-19","1479513600","2"
"2016-11-20","1479600000","1"
"2016-11-21","1479686400","1"
"2016-11-22","1479772800","2"
"2016-11-23","1479859200","1"
"2016-11-24","1479945600","8"
"2016-11-25","1480032000","4"
"2016-11-26","1480118400","1"
"2016-11-27","1480204800","1"
"2016-11-28","1480291200","2"
"2016-11-29","1480377600","4"
"2016-11-30","1480464000","4"
"2016-12-01","1480550400","1"
"2016-12-02","1480636800","1"
"2016-12-03","1480723200","0"
"2016-12-04","1480809600","0"
"2016-12-05","1480896000","2"
"2016-12-06","1480982400","5"
"2016-12-07","1481068800","2"
"2016-12-08","1481155200","2"
"2016-12-09","1481241600","1"
"2016-12-10","1481328000","0"
"2016-12-11","1481414400","17"
"2016-12-12","1481500800","13"
"2016-12-13","1481587200","3"
"2016-12-14","1481673600","0"
"2016-12-15","1481760000","8"
"2016-12-16","1481846400","0"
"2016-12-17","1481932800","0"
"2016-12-18","1482019200","0"
"2016-12-19","1482105600","2"
"2016-12-20","1482192000","1"
"2016-12-21","1482278400","1"
"2016-12-22","1482364800","2"
"2016-12-23","1482451200","0"
"2016-12-24","1482537600","0"
"2016-12-25","1482624000","0"
"2016-12-26","1482710400","0"
"2016-12-27","1482796800","5"
"2016-12-28","1482883200","0"
"2016-12-29","1482969600","0"
"2016-12-30","1483056000","2"
"2016-12-31","1483142400","4"
"2017-01-01","1483228800","2"
"2017-01-02","1483315200","2"
"2017-01-03","1483401600","9"
"2017-01-04","1483488000","10"
"2017-01-05","1483574400","0"
"2017-01-06","1483660800","0"
"2017-01-07","1483747200","0"
"2017-01-08","1483833600","0"
"2017-01-09","1483920000","3"
"2017-01-10","1484006400","7"
"2017-01-11","1484092800","1"
"2017-01-12","1484179200","2"
"2017-01-13","1484265600","2"
"2017-01-14","1484352000","0"
"2017-01-15","1484438400","4"
"2017-01-16","1484524800","5"
"2017-01-17","1484611200","8"
"2017-01-18","1484697600","0"
"2017-01-19","1484784000","3"
"2017-01-20","1484870400","9"
"2017-01-21","1484956800","0"
"2017-01-22","1485043200","10"
"2017-01-23","1485129600","4"
"2017-01-24","1485216000","10"
"2017-01-25","1485302400","4"
"2017-01-26","1485388800","4"
"2017-01-27","1485475200","2"
"2017-01-28","1485561600","4"
"2017-01-29","1485648000","0"
"2017-01-30","1485734400","1"
"2017-01-31","1485820800","2"
"2017-02-01","1485907200","0"
"2017-02-02","1485993600","3"
"2017-02-03","1486080000","9"
"2017-02-04","1486166400","1"
"2017-02-05","1486252800","12"
"2017-02-06","1486339200","1"
"2017-02-07","1486425600","14"
"2017-02-08","1486512000","10"
"2017-02-09","1486598400","7"
"2017-02-10","1486684800","2"
"2017-02-11","1486771200","4"
"2017-02-12","1486857600","2"
"2017-02-13","1486944000","8"
"2017-02-14","1487030400","6"
"2017-02-15","1487116800","5"
"2017-02-16","1487203200","3"
"2017-02-17","1487289600","2"
"2017-02-18","1487376000","1"
"2017-02-19","1487462400","0"
"2017-02-20","1487548800","2"
"2017-02-21","1487635200","2"
"2017-02-22","1487721600","10"
"2017-02-23","1487808000","7"
"2017-02-24","1487894400","4"
"2017-02-25","1487980800","3"
"2017-02-26","1488067200","0"
"2017-02-27","1488153600","3"
"2017-02-28","1488240000","5"
"2017-03-01","1488326400","2"
"2017-03-02","1488412800","2"
"2017-03-03","1488499200","6"
"2017-03-04","1488585600","1"
"2017-03-05","1488672000","0"
"2017-03-06","1488758400","0"
"2017-03-07","1488844800","10"
"2017-03-08","1488931200","4"
"2017-03-09","1489017600","1"
"2017-03-10","1489104000","4"
"2017-03-11","1489190400","8"
"2017-03-12","1489276800","2"
"2017-03-13","1489363200","6"
"2017-03-14","1489449600","5"
"2017-03-15","1489536000","6"
"2017-03-16","1489622400","0"
"2017-03-17","1489708800","2"
"2017-03-18","1489795200","3"
"2017-03-19","1489881600","2"
"2017-03-20","1489968000","2"
"2017-03-21","1490054400","6"
"2017-03-22","1490140800","2"
"2017-03-23","1490227200","5"
"2017-03-24","1490313600","5"
"2017-03-25","1490400000","3"
"2017-03-26","1490486400","3"
"2017-03-27","1490572800","2"
"2017-03-28","1490659200","12"
"2017-03-29","1490745600","2"
"2017-03-30","1490832000","10"
"2017-03-31","1490918400","4"
"2017-04-01","1491004800","4"
"2017-04-02","1491091200","4"
"2017-04-03","1491177600","2"
"2017-04-04","1491264000","6"
"2017-04-05","1491350400","12"
"2017-04-06","1491436800","15"
"2017-04-07","1491523200","9"
"2017-04-08","1491609600","5"
"2017-04-09","1491696000","9"
"2017-04-10","1491782400","4"
"2017-04-11","1491868800","3"
"2017-04-12","1491955200","5"
"2017-04-13","1492041600","16"
"2017-04-14","1492128000","14"
"2017-04-15","1492214400","2"
"2017-04-16","1492300800","0"
"2017-04-17","1492387200","6"
"2017-04-18","1492473600","28"
"2017-04-19","1492560000","5"
"2017-04-20","1492646400","4"
"2017-04-21","1492732800","3"
"2017-04-22","1492819200","5"
"2017-04-23","1492905600","5"
"2017-04-24","1492992000","13"
"2017-04-25","1493078400","3"
"2017-04-26","1493164800","1"
"2017-04-27","1493251200","1"
"2017-04-28","1493337600","5"
"2017-04-29","1493424000","4"
"2017-04-30","1493510400","5"
"2017-05-01","1493596800","2"
"2017-05-02","1493683200","4"
"2017-05-03","1493769600","8"
"2017-05-04","1493856000","5"
"2017-05-05","1493942400","2"
"2017-05-06","1494028800","1"
"2017-05-07","1494115200","3"
"2017-05-08","1494201600","7"
"2017-05-09","1494288000","5"
"2017-05-10","1494374400","11"
"2017-05-11","1494460800","10"
"2017-05-12","1494547200","15"
"2017-05-13","1494633600","2"
"2017-05-14","1494720000","3"
"2017-05-15","1494806400","11"
"2017-05-16","1494892800","18"
"2017-05-17","1494979200","42"
"2017-05-18","1495065600","7"
"2017-05-19","1495152000","10"
"2017-05-20","1495238400","2"
"2017-05-21","1495324800","1"
"2017-05-22","1495411200","5"
"2017-05-23","1495497600","12"
"2017-05-24","1495584000","5"
"2017-05-25","1495670400","9"
"2017-05-26","1495756800","12"
"2017-05-27","1495843200","7"
"2017-05-28","1495929600","5"
"2017-05-29","1496016000","19"
"2017-05-30","1496102400","14"
"2017-05-31","1496188800","13"
"2017-06-01","1496275200","8"
"2017-06-02","1496361600","11"
"2017-06-03","1496448000","4"
"2017-06-04","1496534400","7"
"2017-06-05","1496620800","3"
"2017-06-06","1496707200","8"
"2017-06-07","1496793600","7"
"2017-06-08","1496880000","8"
"2017-06-09","1496966400","10"
"2017-06-10","1497052800","10"
"2017-06-11","1497139200","8"
"2017-06-12","1497225600","22"
"2017-06-13","1497312000","14"
"2017-06-14","1497398400","20"
"2017-06-15","1497484800","9"
"2017-06-16","1497571200","13"
"2017-06-17","1497657600","7"
"2017-06-18","1497744000","0"
"2017-06-19","1497830400","32"
"2017-06-20","1497916800","7"
"2017-06-21","1498003200","18"
"2017-06-22","1498089600","17"
"2017-06-23","1498176000","19"
"2017-06-24","1498262400","8"
"2017-06-25","1498348800","11"
"2017-06-26","1498435200","14"
"2017-06-27","1498521600","16"
"2017-06-28","1498608000","19"
"2017-06-29","1498694400","20"
"2017-06-30","1498780800","9"
"2017-07-01","1498867200","12"
"2017-07-02","1498953600","14"
"2017-07-03","1499040000","37"
"2017-07-04","1499126400","30"
"2017-07-05","1499212800","8"
"2017-07-06","1499299200","29"
"2017-07-07","1499385600","10"
"2017-07-08","1499472000","7"
"2017-07-09","1499558400","32"
"2017-07-10","1499644800","18"
"2017-07-11","1499731200","31"
"2017-07-12","1499817600","29"
"2017-07-13","1499904000","13"
"2017-07-14","1499990400","17"
"2017-07-15","1500076800","17"
"2017-07-16","1500163200","14"
"2017-07-17","1500249600","28"
"2017-07-18","1500336000","36"
"2017-07-19","1500422400","19"
"2017-07-20","1500508800","26"
"2017-07-21","1500595200","19"
"2017-07-22","1500681600","25"
"2017-07-23","1500768000","30"
"2017-07-24","1500854400","33"
"2017-07-25","1500940800","43"
"2017-07-26","1501027200","25"
"2017-07-27","1501113600","18"
"2017-07-28","1501200000","30"
"2017-07-29","1501286400","23"
"2017-07-30","1501372800","11"
"2017-07-31","1501459200","18"
"2017-08-01","1501545600","34"
"2017-08-02","1501632000","15"
"2017-08-03","1501718400","24"
"2017-08-04","1501804800","12"
"2017-08-05","1501891200","17"
"2017-08-06","1501977600","23"
"2017-08-07","1502064000","33"
"2017-08-08","1502150400","31"
"2017-08-09","1502236800","36"
"2017-08-10","1502323200","33"
"2017-08-11","1502409600","31"
"2017-08-12","1502496000","24"
"2017-08-13","1502582400","17"
"2017-08-14","1502668800","31"
"2017-08-15","1502755200","39"
"2017-08-16","1502841600","25"
"2017-08-17","1502928000","27"
"2017-08-18","1503014400","20"
"2017-08-19","1503100800","13"
"2017-08-20","1503187200","32"
"2017-08-21","1503273600","29"
"2017-08-22","1503360000","31"
"2017-08-23","1503446400","33"
"2017-08-24","1503532800","37"
"2017-08-25","1503619200","47"
"2017-08-26","1503705600","30"
"2017-08-27","1503792000","41"
"2017-08-28","1503878400","53"
"2017-08-29","1503964800","28"
"2017-08-30","1504051200","39"
"2017-08-31","1504137600","62"
"2017-09-01","1504224000","44"
"2017-09-02","1504310400","32"
"2017-09-03","1504396800","28"
"2017-09-04","1504483200","23"
"2017-09-05","1504569600","27"
"2017-09-06","1504656000","34"
"2017-09-07","1504742400","38"
"2017-09-08","1504828800","44"
"2017-09-09","1504915200","41"
"2017-09-10","1505001600","37"
"2017-09-11","1505088000","27"
"2017-09-12","1505174400","40"
"2017-09-13","1505260800","38"
"2017-09-14","1505347200","47"
"2017-09-15","1505433600","39"
"2017-09-16","1505520000","34"
"2017-09-17","1505606400","30"
"2017-09-18","1505692800","43"
"2017-09-19","1505779200","54"
"2017-09-20","1505865600","41"
"2017-09-21","1505952000","43"
"2017-09-22","1506038400","28"
"2017-09-23","1506124800","21"
"2017-09-24","1506211200","27"
"2017-09-25","1506297600","37"
"2017-09-26","1506384000","26"
"2017-09-27","1506470400","44"
"2017-09-28","1506556800","46"
"2017-09-29","1506643200","59"
"2017-09-30","1506729600","36"
"2017-10-01","1506816000","2"
"2017-10-02","1506902400","43"
"2017-10-03","1506988800","61"
"2017-10-04","1507075200","31"
"2017-10-05","1507161600","37"
"2017-10-06","1507248000","41"
"2017-10-07","1507334400","34"
"2017-10-08","1507420800","38"
"2017-10-09","1507507200","39"
"2017-10-10","1507593600","42"
"2017-10-11","1507680000","54"
"2017-10-12","1507766400","33"
"2017-10-13","1507852800","58"
"2017-10-14","1507939200","37"
"2017-10-15","1508025600","38"
"2017-10-16","1508112000","36"
"2017-10-17","1508198400","53"
"2017-10-18","1508284800","39"
"2017-10-19","1508371200","61"
"2017-10-20","1508457600","50"
"2017-10-21","1508544000","46"
"2017-10-22","1508630400","32"
"2017-10-23","1508716800","70"
"2017-10-24","1508803200","49"
"2017-10-25","1508889600","52"
"2017-10-26","1508976000","60"
"2017-10-27","1509062400","70"
"2017-10-28","1509148800","50"
"2017-10-29","1509235200","56"
"2017-10-30","1509321600","90"
"2017-10-31","1509408000","71"
"2017-11-01","1509494400","75"
"2017-11-02","1509580800","62"
"2017-11-03","1509667200","55"
"2017-11-04","1509753600","26"
"2017-11-05","1509840000","35"
"2017-11-06","1509926400","69"
"2017-11-07","1510012800","73"
"2017-11-08","1510099200","50"
"2017-11-09","1510185600","48"
"2017-11-10","1510272000","67"
"2017-11-11","1510358400","31"
"2017-11-12","1510444800","56"
"2017-11-13","1510531200","69"
"2017-11-14","1510617600","88"
"2017-11-15","1510704000","77"
"2017-11-16","1510790400","88"
"2017-11-17","1510876800","78"
"2017-11-18","1510963200","40"
"2017-11-19","1511049600","46"
"2017-11-20","1511136000","85"
"2017-11-21","1511222400","81"
"2017-11-22","1511308800","75"
"2017-11-23","1511395200","77"
"2017-11-24","1511481600","74"
"2017-11-25","1511568000","55"
"2017-11-26","1511654400","80"
"2017-11-27","1511740800","61"
"2017-11-28","1511827200","73"
"2017-11-29","1511913600","91"
"2017-11-30","1512000000","92"
"2017-12-01","1512086400","79"
"2017-12-02","1512172800","60"
"2017-12-03","1512259200","52"
"2017-12-04","1512345600","55"
"2017-12-05","1512432000","56"
"2017-12-06","1512518400","31"
"2017-12-07","1512604800","46"
"2017-12-08","1512691200","48"
"2017-12-09","1512777600","25"
"2017-12-10","1512864000","70"
"2017-12-11","1512950400","88"
"2017-12-12","1513036800","58"
"2017-12-13","1513123200","91"
"2017-12-14","1513209600","93"
"2017-12-15","1513296000","74"
"2017-12-16","1513382400","42"
